Server ID,Sponsor,Server Name,Timestamp,Distance,Ping,Download,Upload,Share,IP Address
10602,Aspire Technology Solutions,Gateshead,2018-09-17T17:00:04.597271Z,193.6754438,608.266,503805.821,361563.2144,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-18T13:30:20.703467Z,193.6754438,44.19,6340503.965,9455510.891,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-18T17:00:03.176606Z,193.6754438,39.998,8988875.846,6926690.582,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-18T23:00:00.734032Z,193.6754438,30.269,10149204.69,8875599.506,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-19T07:00:01.974388Z,193.6754438,35.746,10914688.36,9080078.195,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-19T11:00:00.573898Z,193.6754438,82.376,7089483.345,8876053.244,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-19T17:00:00.993812Z,193.6754438,40.184,7751859.818,9030025.552,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-19T22:59:59.934407Z,193.6754438,37.211,5512006.957,8650269.133,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-20T07:00:03.547497Z,193.6754438,54.569,13259999.91,9091484.705,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-20T11:00:01.622867Z,193.6754438,43.005,8269152.928,9283575.641,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-21T17:00:01.438641Z,193.6754438,366.38,2086268.479,9276246.096,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-21T23:00:00.111124Z,193.6754438,36.382,5635308.392,9009267.841,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-22T07:47:15.670899Z,193.6754438,1322.704,4976.739941,1407330.903,,94.9.116.60
10602,Aspire Technology Solutions,Gateshead,2018-09-22T18:58:57.664679Z,449.9775775,145.62,476840.4429,8862824.393,,94.2.187.247
10602,Aspire Technology Solutions,Gateshead,2018-09-25T22:59:59.548905Z,449.9775775216846,29.753,7997561.312572815,9237832.515101992,,94.2.187.247
